(0, 5)
(0, 1)
(5, 10)
(5, 6)
(1, 2)
(2, 7)
(2, 3)
(7, 6)
(7, 12)
(7, 8)
(3, 8)
(3, 4)
(8, 13)
(8, 9)
(4, 9)
(9, 14)
(10, 11)
(6, 11)
(11, 16)
(11, 12)
(12, 13)
(13, 18)
(13, 14)
(14, 19)
(16, 15)
(16, 21)
(16, 17)
(18, 17)
(18, 23)
(19, 24)
(15, 20)
(20, 25)
(21, 26)
(21, 22)
(17, 22)
(22, 27)
(22, 23)
(23, 28)
(23, 24)
(24, 29)
(25, 26)
(27, 32)
(27, 28)
(28, 33)
(28, 29)
(32, 31)
(32, 37)
(32, 33)
(33, 38)
(30, 35)
(30, 31)
(35, 40)
(35, 36)
(31, 36)
(36, 41)
(36, 37)
(37, 38)
(38, 43)
(38, 39)
(34, 39)
(39, 44)
(40, 45)
(41, 46)
(41, 42)
(43, 42)
(43, 48)
(43, 44)
(44, 49)
(45, 46)
(46, 47)
(42, 47)
(47, 48)
(48, 49)
