(0, 5)
(0, 1)
(5, 10)
(5, 6)
(1, 6)
(1, 2)
(6, 7)
(2, 7)
(2, 3)
(7, 8)
(10, 15)
(10, 11)
(8, 13)
(8, 9)
(13, 12)
(13, 18)
(13, 14)
(9, 14)
(15, 20)
(15, 16)
(11, 16)
(11, 12)
(16, 21)
(16, 17)
(18, 17)
(18, 23)
(18, 19)
(20, 25)
(20, 21)
(21, 26)
(21, 22)
(17, 22)
(22, 23)
(23, 28)
(19, 24)
(24, 29)
(25, 30)
(25, 26)
(26, 31)
(28, 27)
(29, 34)
(30, 35)
(31, 36)
(31, 32)
(27, 32)
(32, 37)
(32, 33)
(34, 33)
(34, 39)
(35, 36)
(36, 37)
(37, 42)
(37, 38)
(39, 38)
(39, 44)
(42, 43)
(38, 43)
(43, 48)
(44, 49)
(40, 41)
(41, 46)
(46, 45)
(46, 47)
(48, 47)
(48, 49)
