(0, 5)
(0, 1)
(5, 10)
(5, 6)
(1, 6)
(1, 2)
(6, 11)
(6, 7)
(2, 7)
(2, 3)
(7, 12)
(4, 9)
(9, 14)
(10, 15)
(10, 11)
(11, 12)
(12, 17)
(14, 13)
(14, 19)
(15, 20)
(15, 16)
(17, 22)
(17, 18)
(13, 18)
(18, 23)
(18, 19)
(20, 21)
(22, 21)
(22, 27)
(22, 23)
(23, 24)
(27, 26)
(27, 28)
(24, 29)
(29, 28)
(25, 30)
(25, 26)
(30, 35)
(26, 31)
(31, 36)
(31, 32)
(35, 40)
(35, 36)
(36, 41)
(32, 37)
(37, 38)
(33, 38)
(33, 34)
(38, 43)
(38, 39)
(40, 45)
(41, 46)
(41, 42)
(43, 48)
(43, 44)
(39, 44)
(44, 49)
(45, 46)
(46, 47)
(48, 49)
