(0, 5)
(0, 1)
(5, 10)
(5, 6)
(1, 6)
(1, 2)
(6, 11)
(2, 7)
(2, 3)
(7, 12)
(7, 8)
(3, 8)
(3, 4)
(8, 13)
(8, 9)
(4, 9)
(9, 14)
(10, 11)
(11, 16)
(11, 12)
(12, 17)
(12, 13)
(14, 19)
(16, 15)
(16, 21)
(16, 17)
(17, 22)
(17, 18)
(15, 20)
(20, 25)
(20, 21)
(21, 26)
(21, 22)
(22, 27)
(18, 23)
(23, 28)
(23, 24)
(25, 30)
(25, 26)
(26, 31)
(26, 27)
(27, 32)
(27, 28)
(28, 33)
(28, 29)
(24, 29)
(29, 34)
(30, 31)
(31, 36)
(31, 32)
(32, 37)
(32, 33)
(33, 34)
(34, 39)
(36, 35)
(36, 41)
(36, 37)
(37, 42)
(37, 38)
(39, 38)
(39, 44)
(35, 40)
(40, 41)
(41, 46)
(41, 42)
(42, 47)
(42, 43)
(38, 43)
(43, 48)
(43, 44)
(44, 49)
(46, 45)
(46, 47)
(47, 48)
