(0, 5)
(0, 1)
(5, 10)
(1, 6)
(1, 2)
(6, 11)
(6, 7)
(2, 7)
(2, 3)
(7, 8)
(3, 8)
(3, 4)
(8, 13)
(8, 9)
(4, 9)
(9, 14)
(10, 15)
(10, 11)
(11, 16)
(11, 12)
(13, 12)
(13, 18)
(13, 14)
(14, 19)
(15, 20)
(15, 16)
(16, 21)
(16, 17)
(12, 17)
(17, 22)
(17, 18)
(18, 23)
(18, 19)
(19, 24)
(20, 25)
(20, 21)
(21, 26)
(21, 22)
(22, 27)
(23, 28)
(24, 29)
(25, 30)
(25, 26)
(26, 31)
(26, 27)
(27, 28)
(28, 33)
(28, 29)
(29, 34)
(30, 35)
(30, 31)
(31, 36)
(31, 32)
(33, 32)
(33, 38)
(33, 34)
(34, 39)
(35, 40)
(35, 36)
(36, 41)
(36, 37)
(38, 37)
(38, 43)
(38, 39)
(39, 44)
(40, 45)
(41, 46)
(41, 42)
(43, 42)
(43, 48)
(43, 44)
(44, 49)
(45, 46)
(46, 47)
(48, 49)
