(0, 5)
(5, 10)
(5, 6)
(1, 2)
(2, 7)
(2, 3)
(7, 6)
(7, 12)
(7, 8)
(3, 8)
(3, 4)
(8, 13)
(8, 9)
(4, 9)
(9, 14)
(10, 15)
(10, 11)
(6, 11)
(11, 16)
(12, 17)
(12, 13)
(13, 18)
(13, 14)
(14, 19)
(15, 16)
(16, 17)
(17, 18)
(18, 23)
(18, 19)
(23, 22)
(23, 28)
(23, 24)
(20, 25)
(20, 21)
(25, 30)
(25, 26)
(21, 26)
(21, 22)
(26, 31)
(26, 27)
(28, 27)
(28, 33)
(28, 29)
(24, 29)
(29, 34)
(30, 35)
(30, 31)
(31, 36)
(31, 32)
(27, 32)
(32, 37)
(32, 33)
(33, 38)
(33, 34)
(34, 39)
(35, 40)
(35, 36)
(36, 41)
(36, 37)
(38, 43)
(38, 39)
(39, 44)
(40, 45)
(40, 41)
(41, 46)
(41, 42)
(43, 48)
(43, 44)
(44, 49)
(45, 46)
(46, 47)
(42, 47)
(47, 48)
(48, 49)
